source_message_id,chatid,target_message_id,text,Instrument name,Entry price 1,Entry price 2,Entry price 3,Entry price 4,Entry price 5,Take profit price 1,Take profit price 2,Take profit price 3,Take profit price 4,Take profit price 5,Stop loss price,Order Type
12091,'5492592958',383,'Add 20 pip  to stop loss  until this retest end',,20,,,,,,,,,,,
12092,'5492592958',384,'Near from tp',,,,,,,,,,,,,
12093,'5492592958',385,'For who closed it with { -  U can sell from now price',,,,,,,,,,,,,Sell
5647,'5492592958',3912,'XAUUSD sell now @ 1919 Tp @ 1910 Tp2 @ 1900  Sl @ 1924',XAUUSD,1919,,,,,1910,1900,,,,1924,Sell now
8255,'5492592958',4523,'XAUUSD SELL NOW  @ 1920  SL : 1927  TP : 1914 TP : 1908',XAUUSD,1920,,,,,1914,1908,,,,1927,Sell now
5650,'5492592958',3915,'Re_enter from @1921.50 Sl safely set at @ 1927',,1921.50,,,,,,,,,,1927,
1888,'5492592958',1813,'Tp1 @ 1912 Tp2 @ 1900',,,,,,,1912,1900,,,,,
5651,'5492592958',3916,'USDCAD buy now @ 1.35200 Tp @ 1.35600 Tp2 @ 1.36200  Sl @ 1.34950',USDCAD,1.35200,,,,,1.35600,1.36200,,,,1.34950,Buy now
1889,'5492592958',1814,'I am holding NZDCAD',NZDCAD,,,,,,,,,,,,
5653,'5492592958',3918,'Am out of Home for now',,,,,,,,,,,,,
1890,'5492592958',1815,'USDCAD buy now @ 1.3539 tp @ 1.3577 tp2 @ 1.3625  SL @ 1.352316 pips)',USDCAD,1.3539,,,,,1.3577,1.3625,,,,1.352316,Buy now
8257,'5492592958',4524,'USDCAD BUY NOW    @ 1.3539  TP : 1.3577 TP : 1.3625  SL : 1.3523',USDCAD,1.3539,,,,,1.3577,1.3625,,,,1.3523,Buy now
8258,'5492592958',4525,'US30 BUY NOW  @ 34445 - 34435  SL : 34410',US30,34445,34435,,,,,,,,,34410,Buy now
8259,'5492592958',4526,'XAUUSD Buy Limit   @ 1916 to 1914   TP : 1920 TP : 1925 TP : Open Hold  SL : 1909',XAUUSD,1916,1914,,,,1920,1925,open,,,1909,Buy limit
8260,'5492592958',4527,'XAUUSD NEXT MOVE POSSIBLE',XAUUSD,,,,,,,,,,,,
8261,'5492592958',4528,'Use Only Small Risk Today',,,,,,,,,,,,,
8262,'5492592958',4529,'40+ pips running SL to Entry Close half profit',,,,,,,,,,,,,
8263,'5492592958',4530,'Close at Entry point',,,,,,,,,,,,,
8264,'5492592958',4531,'In the zone u can take entry with small lot now',,,,,,,,,,,,,
8265,'5492592958',4532,'Close All',,,,,,,,,,,,,
8266,'5492592958',4533,'SL to Entry',,,,,,,,,,,,,
8267,'5492592958',4534,'Close not valid now News opposite',,,,,,,,,,,,,
8268,'5492592958',4535,'XAUUSD SELL LIMIT   @ 1917',XAUUSD,1917,,,,,,,,,,,Sell limit
8269,'5492592958',4536,'18+ Pips Running',,,,,,,,,,,,,
8271,'5492592958',4538,'Also running in Range  For last 30 minutes  Not Good Opportunity',,30,,,,,,,,,,,
1893,'5492592958',1818,'Nzdcad close 00',NZDCAD,00,,,,,,,,,,,
8272,'5492592958',4539,'NC CLOSE  AT ENTRY',,,,,,,,,,,,,
8273,'5492592958',4540,'XAUUSD BUY NOW    @ 1913 - 1914   TP : 1920 TP : 1925 TP : Open Hold  SL : 1903',XAUUSD,1913,1914,,,,1920,1925,open,,,1903,Buy now
12097,'5492592958',391,'USD/CHF  Buy now 0.88200  Stop loss 50 pip  Target 1 50 PIP Target 2 100 PIP  Target 3 150 PIP',USD/CHF,0.88200,50,50,100,,,,,,,,Buy now
1894,'5492592958',1819,'XAUUSD sell now @ 1916.7 tp @ 1910 tp2 @ 1900  sl @ 1919.5',XAUUSD,1916.7,,,,,1910,1900,,,,1919.5,Sell now
8274,'5492592958',4541,'Booked Profit',,,,,,,,,,,,,
8275,'5492592958',4542,'XAUUSD SELL NOW    @ 1916.7  TP : 1910 TP : 1900  SL : 1920',XAUUSD,1916.7,,,,,1910,1900,,,,1920,Sell now
8276,'5492592958',4543,'Small lot',,,,,,,,,,,,,
5655,'5492592958',3920,'XAUUSD sell now @ 1917 Tp open   Sl @ 1924',XAUUSD,1917,,,,,open,,,,,1924,Sell now
1896,'5492592958',1821,'Edit sl 1921',,,,,,,,,,,,1921,
8277,'5492592958',4544,'1922',,1922,,,,,,,,,,,
8278,'5492592958',4545,'SL',,,,,,,,,,,,,
5657,'5492592958',3922,'XAUUSD sell now again @ 1920  tp @ 1911 tp 2 @ 1901   Sl @ 1924 [ For both ]',XAUUSD,1920,,,,,1911,1901,,,,1924,Sell now
5658,'5492592958',3923,'XAUUSD for me structure is still bearish ,XAUUSD,,,,,,,,,,,,
5660,'5492592958',3925,'USDJPY sell limit @ 146.160 tp @ 145.100 tp 2 @ 143.400  Sl @ 146.500 [ 36 PIPS ]',USDJPY,146.160,,,,,145.100,143.400,,,,146.500,Sell limit
8285,'5492592958',4551,'USDJPY SELL LIMIT    @ 146.160  TP : 145.100 TP : 143.400  SL : 146.500',USDJPY,146.160,,,,,145.100,143.400,,,,146.500,Sell limit
1898,'5492592958',1822,'XAUUSD close at entry point  If you are Safe yet',XAUUSD,,,,,,,,,,,,
8286,'5492592958',4552,'CLOSE ALL GOLD FOR NOW',GOLD,,,,,,,,,,,,
5661,'5492592958',3926,'GBPCAD buy limit @ 1.70340 tp @ 1.71200 tp 2 @ 1.72600  Sl @ 1.7000  [ 34 PIPS ]',GBPCAD,1.70340,,,,,1.71200,1.72600,,,,1.7000,Buy limit
